utcyearday,datetime,declination,horizforce,storm
239.597222,"-14,734.00",44.1,10.3,0
239.638889,"-14,733.96",43.8,40.5,0
239.680556,"-14,733.92",43.2,9.7,0
239.722222,"-14,733.88",43.1,9.9,0
239.763889,"-14,733.83",44.6,11.9,0
239.805556,"-14,733.79",43.6,11,0
239.847222,"-14,733.75",44.2,11.3,0
239.888889,"-14,733.71",41.8,11.8,0
239.930556,"-14,733.67",38.9,10.1,0
239.972222,"-14,733.63",37.6,8,0
240.013889,"-14,733.58",37.2,6.1,0
240.055556,"-14,733.54",40.9,2.8,0
240.097222,"-14,733.50",45.1,0.7,0
240.138889,"-14,733.46",51.1,-0.3,0
240.180556,"-14,733.42",54.8,2.1,0
240.222222,"-14,733.38",54,2.9,0
240.263889,"-14,733.33",50.6,4.8,0
240.305556,"-14,733.29",46.3,6.4,0
240.347222,"-14,733.25",44.9,6.8,0
240.388889,"-14,733.21",47.1,19.8,0
240.430556,"-14,733.17",51.2,16,0
240.472222,"-14,733.13",48.1,16.8,0
240.513889,"-14,733.08",42.3,9,0
240.555556,"-14,733.04",39.9,7,0
240.597222,"-14,733.00",41.1,7.1,0
240.638889,"-14,732.96",36.3,9.3,0
240.680556,"-14,732.92",39,2.4,0
240.722222,"-14,732.88",38.9,0.6,0
240.763889,"-14,732.83",42.6,4,0
240.805556,"-14,732.79",43,3,0
240.847222,"-14,732.75",40.5,1.4,0
240.888889,"-14,732.71",38.1,5.2,0
240.930556,"-14,732.67",38.9,1.1,0
240.972222,"-14,732.63",10.4,64.7,0
241.013889,"-14,732.58",6.1,-26,0.5
241.055556,"-14,732.54",17.1,-37,0.5
241.097222,"-14,732.50",34.1,-51.9,0.5
241.138889,"-14,732.46",52.6,-25.4,0.5
241.180556,"-14,732.42",56.5,-11.4,0.5
241.222222,"-14,732.38",65.1,-68.9,0.5
241.263889,"-14,732.33",59.6,-3.9,0.5
241.305556,"-14,732.29",61.1,-25.9,0.5
241.347222,"-14,732.25",77.1,-13.9,0.5
241.388889,"-14,732.21",58.1,-999,1
241.430556,"-14,732.17",39.1,-56.9,1
241.472222,"-14,732.13",47.1,-39.9,1
241.513889,"-14,732.08",45.1,-28.9,1
241.555556,"-14,732.04",49.1,-999,1
241.597222,"-14,732.00",53.1,-46.9,0.5
241.638889,"-14,731.96",45.6,-38.4,0.5
241.680556,"-14,731.92",17.5,-23,0.5
241.722222,"-14,731.88",47.6,-30.3,0.5
241.763889,"-14,731.83",46.1,-23.9,0.5
241.805556,"-14,731.79",45.9,-27.7,0.5
241.847222,"-14,731.75",45,-19.2,0.5
241.888889,"-14,731.71",43.3,-17.3,0.5
241.930556,"-14,731.67",41.4,-16.9,0.5
241.972222,"-14,731.63",41,-16.9,0.5
242.013889,"-14,731.58",39.6,-17.1,0.5
242.055556,"-14,731.54",40.9,-18.1,0.5
242.097222,"-14,731.50",42.1,-19.4,0.5
242.138889,"-14,731.46",44.2,-14.1,0.5
242.180556,"-14,731.42",47.4,-11.6,0.5
242.222222,"-14,731.38",46.8,-9.1,0.5
